Batch Size,Model Name,Compilation Type,Median,Mean,Device,Component,Timesteps,Max Memory
1,openMUSE/muse-laiona6-uvit-clip-220k,None,6.355010671541095,6.354479608125985,4090,backbone,,1526056448
1,openMUSE/muse-laiona6-uvit-clip-220k,default,4.223062144592404,4.228689327525595,4090,backbone,,1523959296
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,3.839030461385846,3.839165161674221,4090,backbone,,1773794816
2,openMUSE/muse-laiona6-uvit-clip-220k,None,6.910351198166609,6.9105279445648184,4090,backbone,,1536138240
2,openMUSE/muse-laiona6-uvit-clip-220k,default,5.582894477993251,5.646417890157965,4090,backbone,,1531943936
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,5.573294749483466,5.573294749483466,4090,backbone,,1810073600
4,openMUSE/muse-laiona6-uvit-clip-220k,None,12.631795508787034,12.627794628497213,4090,backbone,,1556301824
4,openMUSE/muse-laiona6-uvit-clip-220k,default,10.818254761397839,10.911045847460628,4090,backbone,,1547913216
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,10.94626747071743,11.023875987157226,4090,backbone,,1882631168
8,openMUSE/muse-laiona6-uvit-clip-220k,None,17.260433454066515,17.26012513972819,4090,backbone,,1670029312
8,openMUSE/muse-laiona6-uvit-clip-220k,default,14.824591763317585,14.899799680071217,4090,backbone,,1670029312
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14.896197244524956,14.982467304383006,4090,backbone,,2027746304
16,openMUSE/muse-laiona6-uvit-clip-220k,None,34.055187460035086,34.04712673897545,4090,backbone,,1677488128
16,openMUSE/muse-laiona6-uvit-clip-220k,default,29.414025507867336,29.413767741061747,4090,backbone,,1643933696
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,29.818612150847912,29.818987403996292,4090,backbone,,2322686976
32,openMUSE/muse-laiona6-uvit-clip-220k,None,76.98991522192955,76.99344257036081,4090,backbone,,1838477312
32,openMUSE/muse-laiona6-uvit-clip-220k,default,63.82430903613567,63.93942824797705,4090,backbone,,1771368448
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,64.36415715143085,64.56408492522314,4090,backbone,,2907333632
1,openMUSE/muse-laiona6-uvit-clip-220k,None,6.56682443805039,6.566455290885642,4090,vae,,456276992
1,openMUSE/muse-laiona6-uvit-clip-220k,default,6.56529339030385,6.563913059653713,4090,vae,,456276992
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,6.564464885741472,6.56375918770209,4090,vae,,456276992
2,openMUSE/muse-laiona6-uvit-clip-220k,None,10.772249568253754,10.771582368761301,4090,vae,,607339520
2,openMUSE/muse-laiona6-uvit-clip-220k,default,10.78725066035986,10.786342760547997,4090,vae,,607339520
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,10.774228069931269,10.774244405329227,4090,vae,,607339520
4,openMUSE/muse-laiona6-uvit-clip-220k,None,22.48142920434475,22.48172780498862,4090,vae,,909464576
4,openMUSE/muse-laiona6-uvit-clip-220k,default,22.477943263947964,22.4780485779047,4090,vae,,909464576
